(50000, 7)
(50000, 5)
char_to_id:  {'3': 0, '2': 1, '-': 2, '0': 3, ' ': 4, '_': 5, '5': 6, '7': 7, '6': 8, '4': 9, '1': 10, '8': 11, '9': 12}
id_to_char:  {0: '3', 1: '2', 2: '-', 3: '0', 4: ' ', 5: '_', 6: '5', 7: '7', 8: '6', 9: '4', 10: '1', 11: '8', 12: '9'}
| 에폭 1 |  반복 1 / 351 | 시간 0[s] | 손실 2.57
| 에폭 1 |  반복 21 / 351 | 시간 0[s] | 손실 2.54
| 에폭 1 |  반복 41 / 351 | 시간 1[s] | 손실 2.24
| 에폭 1 |  반복 61 / 351 | 시간 1[s] | 손실 2.04
| 에폭 1 |  반복 81 / 351 | 시간 1[s] | 손실 1.97
| 에폭 1 |  반복 101 / 351 | 시간 2[s] | 손실 1.92
| 에폭 1 |  반복 121 / 351 | 시간 2[s] | 손실 1.92
| 에폭 1 |  반복 141 / 351 | 시간 3[s] | 손실 1.92
| 에폭 1 |  반복 161 / 351 | 시간 3[s] | 손실 1.91
| 에폭 1 |  반복 181 / 351 | 시간 3[s] | 손실 1.91
| 에폭 1 |  반복 201 / 351 | 시간 4[s] | 손실 1.90
| 에폭 1 |  반복 221 / 351 | 시간 4[s] | 손실 1.90
| 에폭 1 |  반복 241 / 351 | 시간 5[s] | 손실 1.89
| 에폭 1 |  반복 261 / 351 | 시간 5[s] | 손실 1.89
| 에폭 1 |  반복 281 / 351 | 시간 5[s] | 손실 1.89
| 에폭 1 |  반복 301 / 351 | 시간 6[s] | 손실 1.89
| 에폭 1 |  반복 321 / 351 | 시간 6[s] | 손실 1.88
| 에폭 1 |  반복 341 / 351 | 시간 7[s] | 손실 1.88
| 에폭 1 |  반복 1 / 351 | 시간 0[s] | 손실 2.57
| 에폭 1 |  반복 21 / 351 | 시간 0[s] | 손실 2.55
| 에폭 1 |  반복 41 / 351 | 시간 0[s] | 손실 2.50
| 에폭 1 |  반복 61 / 351 | 시간 1[s] | 손실 2.37
| 에폭 1 |  반복 81 / 351 | 시간 1[s] | 손실 2.17
| 에폭 1 |  반복 101 / 351 | 시간 1[s] | 손실 2.04
| 에폭 1 |  반복 121 / 351 | 시간 2[s] | 손실 1.95
| 에폭 1 |  반복 141 / 351 | 시간 2[s] | 손실 1.92
| 에폭 1 |  반복 161 / 351 | 시간 3[s] | 손실 1.92
| 에폭 1 |  반복 181 / 351 | 시간 3[s] | 손실 1.90
| 에폭 1 |  반복 201 / 351 | 시간 3[s] | 손실 1.90
| 에폭 1 |  반복 221 / 351 | 시간 4[s] | 손실 1.89
| 에폭 1 |  반복 241 / 351 | 시간 4[s] | 손실 1.89
| 에폭 1 |  반복 261 / 351 | 시간 5[s] | 손실 1.89
